episode,episode_reward,batch_reward,epsilon
201,35.4675061929,-104.20705174,0.1
202,275.167133681,-101.433897302,0.1
203,245.233806979,-96.7769899049,0.1
204,326.63616405,-91.486345403,0.1
205,-12.6460086442,-87.2666513522,0.1
206,5.04388451171,-84.8607176899,0.1
207,21.4563321292,-82.7802629273,0.1
208,179.436421056,-80.5826331258,0.1
209,41.0192448311,-77.0931940019,0.1
210,-87.0477994888,-74.1564233042,0.1
211,-275.956620815,-74.4023960736,0.1
212,-264.598390193,-75.2393890689,0.1
213,-161.006751781,-72.531322868,0.1
214,-206.934824215,-72.3177910552,0.1
215,98.8661139291,-67.9509430659,0.1
216,214.591462086,-63.7449863356,0.1
217,-136.912114342,-63.0384169926,0.1
218,8.06811273165,-61.6908475374,0.1
219,-127.102385271,-60.5796520411,0.1
220,32.7495701051,-58.7741401892,0.1
221,185.421114595,-53.3454607801,0.1
222,-44.681113659,-51.7958566381,0.1
223,-269.432389718,-52.2038357384,0.1
224,-134.437174617,-52.4025665898,0.1
225,79.7053523042,-50.8916413079,0.1
226,66.7703270668,-49.5063049486,0.1
227,37.0665347171,-47.9104697945,0.1
228,25.9304181247,-46.7937992328,0.1
229,88.5630113483,-44.9653776747,0.1
230,11.6909628874,-44.1904042999,0.1
231,-144.80004185,-43.4897035578,0.1
232,39.7872546408,-41.4702345831,0.1
233,232.558756961,-38.3379040888,0.1
234,-11.1581647724,-35.8842665418,0.1
235,-279.281041481,-35.1095872039,0.1
236,-150.176593155,-33.7158780467,0.1
237,-29.8044590009,-31.1480580153,0.1
238,132.584794004,-28.8628274274,0.1
239,322.157994068,-23.0529751056,0.1
240,200.939340209,-18.8589954631,0.1
241,-60.3443528551,-18.8310179843,0.1
242,40.3185563518,-19.311157643,0.1
243,143.303999822,-18.2319124662,0.1
244,192.174883955,-14.7790138931,0.1
245,273.148977554,-11.2606825865,0.1
246,312.398500375,-5.80247572715,0.1
247,-202.765039153,-4.20062181644,0.1
248,108.259701409,1.16556746215,0.1
249,-71.5363563437,7.45924449014,0.1
250,60.7305231825,7.91254033767,0.1
251,-36.2741871524,8.08926180498,0.1
252,110.38287277,11.3488704831,0.1
253,37.7372366295,13.0195411695,0.1
254,-130.963379103,12.7525217897,0.1
255,-133.046075078,14.5778758775,0.1
256,-298.068069077,12.8935490855,0.1
257,-239.765599962,10.6515414036,0.1
258,-105.02075874,9.69448707829,0.1
259,-93.3215783772,9.62234206529,0.1
260,-238.521873881,8.8154914086,0.1
261,-150.404526825,8.31554991459,0.1
262,-95.736600602,9.0123459153,0.1
263,97.6343567476,10.2069173987,0.1
264,26.0199614507,11.0839893066,0.1
265,106.059309982,12.0799081962,0.1
266,-258.819680434,7.51772735141,0.1
267,167.767821681,9.91377745691,0.1
268,-25.6092115422,12.4286680817,0.1
269,-107.095213016,14.5309274346,0.1
270,104.96914009,15.0171697883,0.1
271,65.8109714139,13.6339467448,0.1
272,85.5380682442,14.1338164706,0.1
273,297.097512255,16.3723181141,0.1
274,-96.6750330215,17.352391038,0.1
275,51.4231785259,17.5066041706,0.1
276,276.13620121,19.2954134789,0.1
277,87.6615490256,19.4164443239,0.1
278,122.525681303,19.8486926456,0.1
279,321.307623024,27.2887696144,0.1
280,344.514326189,30.274868963,0.1
281,298.328310759,34.6674506434,0.1
282,267.690389534,38.0502785661,0.1
283,58.8904577336,39.495216715,0.1
284,20.3696117727,39.0332837033,0.1
285,183.551992698,39.6167997131,0.1
286,-25.0777209441,37.7660940034,0.1
287,134.849569796,36.5734898558,0.1
288,293.739572779,39.1052359707,0.1
289,292.973682819,43.339929077,0.1
290,29.2934234622,43.740011326,0.1
291,-256.144955487,39.3600147055,0.1
292,-275.38976585,35.2987150288,0.1
293,135.950808509,34.9108331314,0.1
294,293.61425912,37.3167829226,0.1
295,308.362270608,38.1690274028,0.1
296,60.068582493,39.1043211969,0.1
297,114.200041727,39.3026267635,0.1
298,297.258057945,39.5257645934,0.1
299,-163.855255228,35.4220353978,0.1
300,-121.009675156,36.0755281732,0.1
301,126.901041278,36.9898635241,0.1
302,338.217793869,37.620370126,0.1
303,304.410787467,38.2121399309,0.1
304,145.431278574,36.4000910761,0.1
305,-189.360079492,34.6329503676,0.1
306,-374.245013505,30.8400613874,0.1
307,125.321125141,31.8787093176,0.1
308,287.688615983,32.9612312668,0.1
309,-120.87985599,31.3422402586,0.1
310,-390.762239046,28.3050958631,0.1
311,75.1077278703,31.8157393499,0.1
312,326.252357612,37.724246828,0.1
313,-7.0808057443,39.2635062883,0.1
314,-223.697446516,39.0958800653,0.1
315,35.7720388882,38.4649393149,0.1
316,264.548050094,38.964505195,0.1
317,91.5801856457,41.2494281949,0.1
318,127.419499965,42.4429420672,0.1
319,324.42601912,46.9582261111,0.1
320,86.1557464223,47.4922878743,0.1
321,77.2675237,46.4107519653,0.1
322,330.708249094,50.1646455929,0.1
323,252.006548428,55.3790349743,0.1
324,302.504822674,59.7484549472,0.1
325,277.724770061,61.7286491248,0.1
326,-100.418336083,60.0567624933,0.1
327,109.217250999,60.7782696561,0.1
328,300.943672505,63.5284021999,0.1
329,278.908522754,65.431857314,0.1
330,292.271272374,68.2376604089,0.1
331,317.758999251,72.8632508199,0.1
332,319.181360784,75.6571918813,0.1
333,317.768231999,76.5092866317,0.1
334,79.9455207903,77.4203234873,0.1
335,127.765835066,81.4907922528,0.1
336,329.905522576,86.2916134101,0.1
337,297.010924267,89.5597672428,0.1
338,313.578390549,91.3697032082,0.1
339,354.355515886,91.6916784264,0.1
340,-45.0745099773,89.2315399245,0.1
